"Start_Date","Plot_ID","Species","Scientific_Name","Count","Cover_pct","Cover_Class","Visit_Year"
2022-04-15,88,"BRTE","Bromus tectorum",29,10,2,2022
2022-04-15,88,"CRCR3","Cryptantha crassisepala",4,1,1,2022
2022-04-15,88,"KRLA","Krascheninnikovia lanata",19,6,2,2022
2022-04-15,88,"PLPA2","Plantago patagonica",10,3,1,2022
2022-04-15,88,"SATR12","Salsola tragus",15,5,1,2022
2022-04-15,88,"VUOC","Vulpia octoflora",11,4,1,2022
2014-04-14,91,"ARFI2","Artemisia filifolia",1,0,1,2014
2014-04-14,91,"BRTE","Bromus tectorum",19,6,2,2014
2014-04-14,91,"CRCR3","Cryptantha crassisepala",3,1,1,2014
2014-04-14,91,"KRLA","Krascheninnikovia lanata",6,2,1,2014
2014-04-14,91,"PLJA","Pleuraphis jamesii",3,1,1,2014
2014-04-14,91,"PLPA2","Plantago patagonica",1,0,1,2014
2014-04-14,91,"SPCR","Sporobolus cryptandrus",2,1,1,2014
2014-04-14,91,"VUOC","Vulpia octoflora",51,17,2,2014
2015-04-14,91,"ACHY","Achnatherum hymenoides",2,1,1,2015
2015-04-14,91,"ARFI2","Artemisia filifolia",1,0,1,2015
2015-04-14,91,"BRTE","Bromus tectorum",4,1,1,2015
2015-04-14,91,"CRCR3","Cryptantha crassisepala",2,1,1,2015
2015-04-14,91,"KRLA","Krascheninnikovia lanata",3,1,1,2015
2015-04-14,91,"PLJA","Pleuraphis jamesii",6,2,1,2015
2015-04-14,91,"PLPA2","Plantago patagonica",42,14,2,2015
2015-04-14,91,"SPCR","Sporobolus cryptandrus",2,1,1,2015
2015-04-14,91,"VUOC","Vulpia octoflora",9,3,1,2015
2021-04-04,91,"ACHY","Achnatherum hymenoides",1,0,1,2021
2021-04-04,91,"ARFI2","Artemisia filifolia",3,1,1,2021
2021-04-04,91,"BRTE","Bromus tectorum",2,1,1,2021
2021-04-04,91,"KRLA","Krascheninnikovia lanata",1,0,1,2021
2021-04-04,91,"PLJA","Pleuraphis jamesii",1,0,1,2021
2021-04-04,91,"SPCR","Sporobolus cryptandrus",1,0,1,2021
2022-04-05,91,"ACHY","Achnatherum hymenoides",4,1,1,2022
2022-04-05,91,"ARFI2","Artemisia filifolia",4,1,1,2022
2022-04-05,91,"BRTE","Bromus tectorum",69,23,2,2022
2022-04-05,91,"CRCR3","Cryptantha crassisepala",1,0,1,2022
2022-04-05,91,"KRLA","Krascheninnikovia lanata",2,1,1,2022
2022-04-05,91,"OEPA","Oenothera pallida",3,1,1,2022
2022-04-05,91,"PLJA","Pleuraphis jamesii",1,0,1,2022
2022-04-05,91,"PLPA2","Plantago patagonica",2,1,1,2022
2022-04-05,91,"SATR12","Salsola tragus",7,2,1,2022
2022-04-05,91,"SPPA2","Sphaeralcea parvifolia",2,1,1,2022
2022-04-05,91,"VUOC","Vulpia octoflora",14,5,1,2022
2014-04-13,92,"ATCA2","Atriplex canescens",1,0,1,2014
2014-04-13,92,"BRTE","Bromus tectorum",43,14,2,2014
2014-04-13,92,"ERTR13","Eremopyrum triticeum",2,1,1,2014
2014-04-13,92,"SATR12","Salsola tragus",49,16,2,2014
2015-04-06,92,"ATCA2","Atriplex canescens",3,1,1,2015
2015-04-06,92,"BRTE","Bromus tectorum",40,13,2,2015
2015-04-06,92,"ERTR13","Eremopyrum triticeum",4,1,1,2015
2015-04-06,92,"SATR12","Salsola tragus",13,4,1,2015
2015-04-06,92,"SPPA2","Sphaeralcea parvifolia",1,0,1,2015
2021-03-31,92,"ATCA2","Atriplex canescens",1,0,1,2021
2022-04-14,92,"ATCA2","Atriplex canescens",1,0,1,2022
2022-04-14,92,"BRTE","Bromus tectorum",24,8,2,2022
2022-04-14,92,"ERTR13","Eremopyrum triticeum",51,17,2,2022
2022-04-14,92,"LAOC","Lappula occidentalis",6,2,1,2022
2022-04-14,92,"MAAF","Malcolmia africana",5,2,1,2022
2022-04-14,92,"OEPA","Oenothera pallida",1,0,1,2022
2022-04-14,92,"SATR12","Salsola tragus",12,4,1,2022
